unit,CSP_1,CSP_2,CSP_3,CSP_4,label
,-2.711819722577417,-0.793906169349579,-0.9596677739210827,-2.3178145849010745,PATROL
,-2.368247303529418,-0.7390739867009448,-1.072614813099257,-2.4454563451197644,PATROL
,-2.6090644993690457,-0.6101710379340842,-1.205327056866707,-2.4823735830163605,PATROL
,-2.749277768300989,-0.740421931903457,-1.006635735536489,-2.3680100766742385,PATROL
,-2.5748996449067887,-0.7294266308504366,-1.0817779746028484,-2.276324116302599,PATROL
,-2.6727960135936315,-0.7905323931158839,-1.0346353200669238,-2.103882194575259,PATROL
,-2.706635789883445,-0.7342154206253146,-1.108382266279742,-2.0934218146828,PATROL
,-2.5697824625506014,-0.8352592615217777,-0.922818765844378,-2.3828357019315547,PATROL
,-2.769605750578042,-0.9406273070297207,-0.8687036649093441,-2.060145597280424,PATROL
,-2.8640806614507794,-0.9370292120988886,-0.9109550108128119,-1.9035779113790017,PATROL
,-2.861717165607384,-0.6319073581437739,-1.2559018599686107,-2.0680371888761706,PATROL
,-2.708570366430481,-0.6357156653559557,-1.3150606037116326,-1.9998648038479134,PATROL
,-2.6580488464507392,-0.7828147579263474,-1.0338233960801249,-2.144274044862001,PATROL
,-2.6586849572122104,-0.7479350728744171,-1.0921325776842619,-2.111002222223406,PATROL
,-2.246621438438296,-0.8017471202640353,-1.2232462628598724,-1.8876573533585375,PATROL
,-2.4082422839871307,-0.7323280652960712,-1.1936927084874802,-2.0703757039098574,PATROL
,-2.439691909423768,-0.7515867263993622,-1.0710771570121842,-2.3171362690749433,PATROL
,-2.181070907917342,-0.7587831537068653,-1.1362571876709069,-2.324571811421804,PATROL
,-2.264540340757175,-0.7108759406079354,-1.115234362764566,-2.563040447717717,PATROL
,-2.592170730726523,-0.7365889530050179,-1.0505418421902188,-2.3366560746269003,PATROL
,-2.7453397951638623,-0.6669191617744704,-1.1850521816569786,-2.1476706967679804,PATROL
,-2.634665592960631,-0.8879042679846846,-0.9188524078770608,-2.1390801066692484,PATROL
,-2.2851348970190952,-0.9316840043159846,-0.9914798462148386,-2.014983484076644,PATROL
,-2.38687844193961,-0.9315485213126978,-0.9633217177084877,-2.021040570169574,PATROL
,-2.9206796614186414,-0.6522840251360899,-1.131484683432088,-2.2759998823429504,PATROL
,-2.6888517184671095,-0.6659375413485885,-1.155882994740371,-2.2684735350978196,PATROL
,-2.392700958630482,-0.6662884667283574,-1.1823673585127703,-2.4252728615573282,PATROL
,-2.6274751579970888,-0.6491232078525471,-1.128734908746216,-2.5035582783276684,PATROL
,-2.5545251340966697,-0.646003117199504,-1.133818951084695,-2.572657831009323,PATROL
,-2.381493764310876,-0.732433044764214,-1.0876883095599064,-2.4095575999730205,PATROL
,-2.0891207190676018,-0.8114159586308278,-1.0792055129872333,-2.3847716318161263,PATROL
,-2.17744568009543,-0.8676211017878026,-0.9964239548468857,-2.32767085005762,PATROL
,-2.3518284264024247,-0.8974079729743357,-0.987090319158272,-2.0832828891026907,PATROL
,-2.7126889402576886,-0.8060859885372397,-0.9667416158601055,-2.237556461827688,PATROL
,-2.5019088122425335,-0.6519853631602996,-1.2487281044631904,-2.2055332542969874,PATROL
,-2.2166266374847785,-0.6531619280053567,-1.2274064562513198,-2.556515908885848,PATROL
,-1.9662640063840262,-0.82348726006273,-1.1318554611429934,-2.315788949542913,PATROL
,-2.120640960444446,-0.8350188210068354,-1.049493343365108,-2.3427419495450503,PATROL
,-2.529700893171927,-0.8184115719803292,-0.930882320836308,-2.465344001465621,PATROL
,-2.6435263658483397,-0.9225292798005104,-0.8619393639076172,-2.2160829326714717,PATROL
,-2.3415327489172504,-0.8767905051312888,-0.9463312052477814,-2.3071846749409914,PATROL
,-2.1360882802411427,-0.7569169742084203,-1.1223758355712512,-2.4387712553789984,PATROL
,-2.3011638397180016,-0.7088271474835709,-1.1156639117877551,-2.5264918428146297,PATROL
,-2.603844870437905,-0.7365314478513499,-1.0265807698895615,-2.4190062910381904,PATROL
,-2.520805753531344,-0.8544362594804287,-1.0736688380609114,-1.8817073107274567,PATROL
,-2.382855684733188,-0.7047480954256738,-1.195378237149449,-2.199209339853262,PATROL
,-2.1614054957077524,-0.851303711056059,-1.0328390511635739,-2.282939853984799,PATROL
,-2.003975145929152,-0.9690330125021962,-0.9817331104318159,-2.1974088716666733,PATROL
,-2.289686971785386,-0.9134401378147522,-0.8799992274419722,-2.491608205764705,PATROL
,-2.474721008263142,-0.7415029982101664,-1.041761916523411,-2.4466436996492784,PATROL
,-2.685133586582664,-0.9555699409600845,-0.7780841119114476,-2.4314425772457207,PATROL
,-2.511467807832738,-0.8045065464369686,-0.9521131839470739,-2.4578628928580906,PATROL
,-2.2678304356999752,-0.7206184976145965,-1.1788324692662955,-2.279118258128909,PATROL
,-2.238621542614778,-0.8676748076358994,-1.0352016971147315,-2.134420945252444,PATROL
,-2.2426984932418894,-0.9877447079350039,-1.0104576150563618,-1.8492166289442695,PATROL
,-2.2331925792812695,-1.0406060102319266,-0.9553248008127226,-1.8650621186712186,PATROL
,-2.4919276130880625,-0.7979088654248307,-1.0575398501980808,-2.1230093822034655,PATROL
,-2.4322980305018778,-0.646920222813931,-1.263300580043532,-2.246300608673302,PATROL
,-2.509502528169995,-0.7019847130372877,-1.0926516486342872,-2.433098489982304,PATROL
,-2.127334992101117,-0.7659495713692381,-1.102155250127067,-2.4793357238052396,PATROL
,-2.2355854530372055,-0.7943020155709916,-1.023982689952843,-2.5008861566425358,PATROL
,-2.4464563502751555,-0.8919154226266661,-0.8992271991940228,-2.3366986810314536,PATROL
,-2.5822271832549215,-0.7836416740620582,-0.9919673333187935,-2.335020536786959,PATROL
,-2.6626532501936584,-0.7834681535819933,-0.9926129587670754,-2.2748616047754244,PATROL
,-2.740740423158849,-0.7800405843362285,-0.9728572943185305,-2.311740829670356,PATROL
,-2.666127405899829,-0.6564659841377888,-1.2052518579827387,-2.1876379581310195,PATROL
,-2.522588037479274,-0.701560900766078,-1.2353344961189185,-2.0159029733968907,PATROL
,-2.706339972683404,-0.7896456911105662,-1.027912548799278,-2.10816516756691,PATROL
,-2.6553598962588896,-0.8608534514249193,-0.9123388286405774,-2.2505480148664505,PATROL
,-2.458924800583941,-0.8108248701379457,-1.0387832023505237,-2.1533305562486698,PATROL
,-2.2083846979226185,-0.8754896247484174,-1.0069772603367786,-2.2243058415034622,PATROL
,-2.0536141297939174,-0.8611360838631306,-1.0949382446282365,-2.167288353371955,PATROL
,-2.776023995621337,-0.6063004341590336,-1.240843507958208,-2.2709957429574583,PATROL
,-2.7284577674129746,-0.6069094504527244,-1.287812552186506,-2.1735434750009395,PATROL
,-2.5901515753678255,-0.5688406314148963,-1.2953598251535003,-2.4649801222576238,PATROL
,-2.6087677734619485,-0.5721748312175535,-1.23798169017976,-2.629575561333854,PATROL
,-2.494207661834383,-0.8016972653105748,-0.989195251084426,-2.3330923447383682,PATROL
,-2.430108639724314,-1.0488307851873957,-0.8788375040695178,-1.921684470627037,PATROL
,-2.49519517982762,-0.9211696988546477,-0.9856499630337989,-1.9223017458542215,PATROL
,-2.97571996562725,-0.8801143609263614,-0.857685170509387,-2.206265779595543,PATROL
,-2.6189370710923425,-0.769000756106926,-1.1278524481750951,-1.96671291703331,PATROL
,-2.5105626286511473,-0.7132022084364242,-1.141361403835392,-2.213465048555339,PATROL
,-2.561691761286208,-0.6145287312492099,-1.1955873868862428,-2.5332067157235647,PATROL
,-2.6410226871913864,-0.6055563036267779,-1.1820860812410596,-2.5730489581408076,PATROL
,-2.440443385758737,-0.7386468224735119,-1.0998654927871008,-2.2808044897495945,PATROL
,-2.382636784816295,-0.7464353765835818,-1.0855551081395043,-2.3441833802478658,PATROL
,-2.363880258311218,-0.5943651598593994,-1.3817187952430383,-2.2741327451462485,PATROL
,-2.5756651411165494,-0.7440881263370728,-1.0497686689787469,-2.3155618441910235,PATROL
,-2.8700994017526384,-0.7369798104252159,-0.9920866785047874,-2.3650191358834802,PATROL
,-2.72351947539836,-0.6977916300371594,-1.1697546663332932,-2.069646241269841,PATROL
